--------- beginning of system
09-17 11:10:23.585  1469  1501 E storaged: getDiskStats failed with result NOT_SUPPORTED and size 0
--------- beginning of main
09-17 11:10:23.669  4945  4945 I appproc : app_process main with argv: /system/bin com.android.commands.input.Input tap 952 795 
09-17 11:10:23.669  4945  4945 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<
09-17 11:10:23.672  4945  4945 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.okhttp.internal.huc.HttpsURLConnectionImpl.getOutputStream(HttpsURLConnectionImpl.java:26)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.HTTPDo(HTTPQueue.java:491)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.send(HTTPQueue.java:411)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue.access$400(HTTPQueue.java:31)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.netease.ntunisdk.base.utils.HTTPQueue$QueueItemRunnable.run(HTTPQueue.java:566)
09-17 11:10:36.862  3856  3968 W System.err: 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1167)
09-17 11:10:36.862  3856  3968 W System.err: 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:641)
09-17 11:10:36.862  3856  3968 W System.err: 	at java.lang.Thread.run(Thread.java:764)
09-17 11:10:36.862  3856  3968 W System.err: Caused by: java.security.cert.CertificateException: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found.
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrustedRecursive(TrustManagerImpl.java:646)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrusted(TrustManagerImpl.java:495)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.checkTrusted(TrustManagerImpl.java:418)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.TrustManagerImpl.getTrustedChainForServer(TrustManagerImpl.java:339)
09-17 11:10:36.862  3856  3968 W System.err: 	at android.security.net.config.NetworkSecurityTrustManager.checkServerTrusted(NetworkSecurityTrustManager.java:94)
09-17 11:10:36.862  3856  3968 W System.err: 	at android.security.net.config.RootTrustManager.checkServerTrusted(RootTrustManager.java:88)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.Platform.checkServerTrusted(Platform.java:208)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.ConscryptFileDescriptorSocket.verifyCertificateChain(ConscryptFileDescriptorSocket.java:404)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.NativeCrypto.SSL_do_handshake(Native Method)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.NativeSsl.doHandshake(NativeSsl.java:375)
09-17 11:10:36.862  3856  3968 W System.err: 	at com.android.org.conscrypt.ConscryptFileDescriptorSocket.startHandshake(ConscryptFileDescriptorSocket.java:224)
09-17 11:10:36.862  3856  3968 W System.err: 	... 20 more
09-17 11:10:36.862  3856  3968 W System.err: Caused by: java.security.cert.CertPathValidatorException: Trust anchor for certification path not found.
09-17 11:10:36.862  3856  3968 W System.err: 	... 31 more
09-17 11:10:36.862  6634  6634 D su      : remote pts_slave: 
09-17 11:10:36.867  6632  6632 D su      : remote pts_slave: 
09-17 11:10:36.867  6550  6550 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:36.875  6660  6660 D su      : su invoked.
09-17 11:10:36.879  6661  6661 D su      : starting daemon client 2000 0
09-17 11:10:36.881  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:36.881  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:36.881  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:36.881  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:36.881  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:36.881  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:36.881  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:36.881  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:36.881  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:36.881  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:36.881  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:36.881  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:36.882  6656  6656 D su      : su invoked.
09-17 11:10:36.882  6550  6550 D AndroidRuntime: Shutting down VM
09-17 11:10:36.883  6662  6662 D su      : connecting client 6659
09-17 11:10:36.896  6599  6599 D su      : starting daemon client 2000 0
09-17 11:10:36.898  6676  6676 D su      : su invoked.
09-17 11:10:36.907  6669  6669 D su      : su invoked.
09-17 11:10:36.908  6602  6602 D su      : starting daemon client 2000 0
09-17 11:10:36.910  6643  6643 D su      : remote uid: 2000
09-17 11:10:36.911  6651  6651 D su      : remote pid: 6620
09-17 11:10:36.911  6646  6646 D su      : su invoked.
09-17 11:10:36.913  6684  6684 D su      : starting daemon client 2000 0
09-17 11:10:36.914  6682  6682 D su      : starting daemon client 2000 0
09-17 11:10:36.914  6680  6680 D su      : connecting client 6579
09-17 11:10:36.915  6596  6596 D su      : starting daemon client 2000 0
09-17 11:10:36.916  6668  6668 D su      : starting daemon client 2000 0
09-17 11:10:36.917  6670  6670 D su      : remote pid: 6659
09-17 11:10:36.919  6689  6689 D su      : remote pts_slave: 
09-17 11:10:36.919  6648  6648 D su      : remote uid: 2000
09-17 11:10:36.920  6690  6690 D su      : starting daemon client 2000 0
09-17 11:10:36.921  6678  6678 D su      : su invoked.
09-17 11:10:36.923  6688  6688 D su      : remote req pid: 6586
09-17 11:10:36.926  6701  6701 D su      : connecting client 6655
09-17 11:10:36.927  6695  6695 D su      : connecting client 6675
09-17 11:10:36.928  6707  6707 D su      : remote req pid: 6561
09-17 11:10:36.928  6702  6702 D su      : remote pts_slave: 
09-17 11:10:36.933  6713  6713 D su      : remote pid: 6655
09-17 11:10:36.936  6706  6706 D su      : remote uid: 2000
09-17 11:10:36.936  6715  6715 D su      : remote args: 5
09-17 11:10:36.936  6711  6711 D su      : remote args: 5
09-17 11:10:36.940  6708  6708 D su      : connecting client 6645
09-17 11:10:36.943  6717  6717 D su      : remote pts_slave: 
09-17 11:10:36.944  6721  6721 D su      : waiting for child exit
09-17 11:10:36.949  6726  6726 D su      : su invoked.
09-17 11:10:36.950  6728  6728 D su      : su invoked.
09-17 11:10:36.952  6700  6700 D su      : connecting client 6572
09-17 11:10:36.954  6610  6610 D su      : su invoked.
09-17 11:10:36.970  6731  6731 D su      : Allowing shell.
09-17 11:10:36.970  6723  6723 D su      : waiting for child exit
09-17 11:10:36.970  6730  6730 D su      : remote uid: 2000
09-17 11:10:36.972  6733  6733 D su      : starting daemon client 2000 0
09-17 11:10:36.972  6739  6739 D su      : su invoked.
09-17 11:10:36.973  6692  6692 D su      : connecting client 6667
09-17 11:10:36.973  6710  6710 D su      : starting daemon client 2000 0
09-17 11:10:36.973  6603  6603 D su      : starting daemon client 2000 0
09-17 11:10:36.973  6720  6720 D su      : remote req pid: 6609
09-17 11:10:36.975  6732  6732 D su      : Allowing shell.
09-17 11:10:36.976  6686  6686 D su      : connecting client 6600
09-17 11:10:36.976  6725  6725 D su      : su invoked.
09-17 11:10:36.976  6604  6604 D su      : connecting client 6564
09-17 11:10:36.977  6716  6716 D su      : remote uid: 2000
09-17 11:10:36.977  6738  6738 D su      : su invoked.
09-17 11:10:36.977  6714  6714 D su      : remote pid: 6675
09-17 11:10:36.977  6729  6729 D su      : remote pid: 6645
09-17 11:10:36.978  6745  6745 D su      : connecting client 6677
09-17 11:10:36.980  6743  6743 D su      : connecting client 6605
09-17 11:10:36.981  6753  6753 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963084 count=6 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:36.985  6759  6759 D su      : remote pid: 6600
09-17 11:10:36.986  6760  6760 D su      : starting daemon client 2000 0
09-17 11:10:36.988  6758  6758 D su      : remote pid: 6667
09-17 11:10:36.989  6742  6742 D su      : remote req pid: 6635
09-17 11:10:36.993  6746  6746 D su      : connecting client 6576
09-17 11:10:36.994  6761  6761 D su      : remote args: 5
09-17 11:10:36.997  6765  6765 D su      : remote pid: 6572
09-17 11:10:36.998  6754  6754 D su      : starting daemon client 2000 0
09-17 11:10:37.001  6696  6696 D su      : remote pid: 6579
09-17 11:10:37.002  6741  6741 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962102 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.010  6779  6779 D su      : remote pts_slave: 
09-17 11:10:37.010  6778  6778 D su      : waiting for child exit
09-17 11:10:37.011  6773  6773 D su      : remote args: 5
09-17 11:10:37.014  6769  6769 D su      : connecting client 6737
09-17 11:10:37.015  6756  6756 D su      : remote pid: 6564
09-17 11:10:37.018  6789  6789 D su      : waiting for child exit
09-17 11:10:37.020  6787  6787 D su      : remote uid: 2000
09-17 11:10:37.021  6764  6764 D su      : remote pid: 6677
09-17 11:10:37.026  6768  6768 D su      : remote pts_slave: 
09-17 11:10:37.026  6796  6796 D su      : remote req pid: 6563
09-17 11:10:37.029  6798  6798 D su      : remote args: 5
09-17 11:10:37.029  3856  3949 I         : 
09-17 11:10:37.029  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:37.029  3856  3949 I [11:10:37.029] M : [ERROR] Bundle::iterator::unpack( authenticate ): Not enough data on stream at 11 for payload (1 left, needed 4)
09-17 11:10:37.029  3856  3949 I         : 
09-17 11:10:37.029  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:37.029  3856  3949 I [11:10:37.029] M : [ERROR] Bundle::iterator::unpack: Got corrupted message header
09-17 11:10:37.029  3856  3949 I         : 
09-17 11:10:37.029  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:37.029  3856  3949 I [11:10:37.029] M : [ERROR] Nub::processOrderedPacket( 172.16.1.2:25010 ): Discarding bundle due to corrupted header for message id 0
09-17 11:10:37.029  3856  3949 I         : WARNING ***************************************************************************
09-17 11:10:37.029  3856  3949 I [11:10:37.029] M : [WARNING] MainApp::poll: poll returned unexpectedly (REASON_CORRUPTED_PACKET).
09-17 11:10:37.030  6792  6792 D su      : remote pts_slave: 
09-17 11:10:37.035  6800  6800 D su      : remote uid: 2000
09-17 11:10:37.040  6763  6763 D su      : remote pts_slave: 
09-17 11:10:37.040  6757  6757 D su      : remote req pid: 6650
09-17 11:10:37.040  6755  6755 D su      : starting daemon client 2000 0
09-17 11:10:37.044  6776  6776 D su      : remote pid: 6576
09-17 11:10:37.045  6799  6799 D su      : remote uid: 2000
09-17 11:10:37.045  6805  6805 D su      : remote req pid: 6558
09-17 11:10:37.045  6802  6802 D su      : waiting for child exit
09-17 11:10:37.046  6794  6794 D su      : su invoked.
09-17 11:10:37.047  6772  6772 D su      : remote pid: 6605
09-17 11:10:37.048  6808  6808 D su      : remote args: 5
09-17 11:10:37.048  6795  6795 D su      : su invoked.
09-17 11:10:37.049  6762  6762 D su      : remote pts_slave: 
09-17 11:10:37.049  6780  6780 D su      : connecting client 6718
09-17 11:10:37.050  6809  6809 D su      : Allowing shell.
09-17 11:10:37.051  6804  6804 D su      : su invoked.
09-17 11:10:37.053  6813  6813 D su      : Allowing shell.
09-17 11:10:37.054  6782  6782 D su      : remote pts_slave: 
09-17 11:10:37.056  6820  6820 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962724 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.058  6812  6812 D su      : waiting for child exit
09-17 11:10:37.061  6821  6821 D su      : su invoked.
09-17 11:10:37.061  6771  6771 D su      : remote pts_slave: 
09-17 11:10:37.062  6793  6793 D su      : remote pid: 6737
09-17 11:10:37.063  6826  6826 D su      : remote uid: 2000
09-17 11:10:37.063  6797  6797 D su      : remote pts_slave: 
09-17 11:10:37.064  6815  6815 D su      : remote uid: 2000
09-17 11:10:37.066  6816  6816 D su      : remote pid: 6718
09-17 11:10:37.076  6835  6835 D su      : remote req pid: 6666
09-17 11:10:37.076  6832  6832 D su      : remote req pid: 6571
09-17 11:10:37.078  6823  6823 D su      : remote args: 5
09-17 11:10:37.079  6831  6831 D su      : remote pts_slave: 
09-17 11:10:37.080  6829  6829 D su      : remote uid: 2000
09-17 11:10:37.080  6830  6830 D su      : Allowing shell.
09-17 11:10:37.083  6836  6836 D su      : remote pts_slave: 
09-17 11:10:37.086  6837  6837 D su      : connecting client 6736
09-17 11:10:37.088  6840  6840 D su      : remote args: 5
09-17 11:10:37.088  6844  6844 D su      : remote uid: 2000
09-17 11:10:37.090  6843  6843 D su      : waiting for child exit
09-17 11:10:37.091  6847  6847 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962114 count=10 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.093  6839  6839 D su      : remote args: 5
09-17 11:10:37.095  6849  6849 D su      : remote uid: 2000
09-17 11:10:37.095  6845  6845 D su      : remote req pid: 6642
09-17 11:10:37.096  6806  6806 D su      : sending code
09-17 11:10:37.097  6850  6850 D su      : remote pid: 6736
09-17 11:10:37.099  6858  6858 D su      : waiting for child exit
09-17 11:10:37.102  6859  6859 D su      : remote req pid: 6614
09-17 11:10:37.105  6852  6852 D su      : waiting for child exit
09-17 11:10:37.106  6866  6866 D su      : su invoked.
09-17 11:10:37.108  6861  6861 D su      : remote args: 5
09-17 11:10:37.109  6819  6819 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.109  6819  6819 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.111  6819  6819 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.113  6863  6863 D su      : client exited 1
09-17 11:10:37.114  6868  6868 D su      : su invoked.
09-17 11:10:37.117  6875  6875 D su      : su invoked.
09-17 11:10:37.119  6854  6854 D su      : su invoked.
09-17 11:10:37.119  6872  6872 D su      : waiting for child exit
09-17 11:10:37.120  6853  6853 D su      : remote req pid: 6673
09-17 11:10:37.120  6876  6876 D su      : sending code
09-17 11:10:37.122  6873  6873 D su      : Allowing shell.
09-17 11:10:37.123  6880  6880 D su      : child exited
09-17 11:10:37.125  6877  6877 D su      : Allowing shell.
09-17 11:10:37.128  6883  6883 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963582 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.136  6819  6819 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.139  6885  6885 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962806 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.141  6819  6819 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.148  6870  6870 D su      : Allowing shell.
09-17 11:10:37.153  6833  6833 D su      : remote uid: 2000
09-17 11:10:37.155  6817  6817 D su      : remote req pid: 6590
09-17 11:10:37.157  6807  6807 D su      : remote pts_slave: 
09-17 11:10:37.158  6818  6818 D su      : remote uid: 2000
09-17 11:10:37.158  6810  6810 D su      : remote pts_slave: 
09-17 11:10:37.164  6822  6822 D su      : Allowing shell.
09-17 11:10:37.167  1559  1796 W NotificationService: Toast already killed. pkg=com.android.settings callback=android.app.ITransientNotification$Stub$Proxy@3ef65b0
09-17 11:10:37.182  6865  6865 D su      : remote pts_slave: 
09-17 11:10:37.191  1905  1936 E EGL_emulation: tid 1936: eglSurfaceAttrib(1504): error 0x3009 (EGL_BAD_MATCH)
09-17 11:10:37.191  1905  1936 W OpenGLRenderer: Failed to set EGL_SWAP_BEHAVIOR on surface 0x763870a62200, error=EGL_BAD_MATCH
09-17 11:10:37.192  6825  6825 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963554 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.200  6862  6862 D su      : child exited
09-17 11:10:37.203  6881  6881 D su      : remote args: 5
09-17 11:10:37.204  6892  6892 D su      : remote req pid: 6653
09-17 11:10:37.206  6893  6893 D su      : remote uid: 2000
09-17 11:10:37.206  6878  6878 D su      : Allowing shell.
09-17 11:10:37.211  6819  6819 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.211  6819  6819 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.211  6819  6819 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
09-17 11:10:37.211  6819  6819 W nativebridge: Failed to bind-mount /system/lib64/x86_64/cpuinfo as /proc/cpuinfo: No such file or directory
09-17 11:10:37.211  6819  6819 D nativebridge: call UnloadNativeBridge! state=2
09-17 11:10:37.221  6891  6891 D su      : sending code
09-17 11:10:37.225  6907  6907 D su      : remote uid: 2000
09-17 11:10:37.226  3856  3949 I NeoXDevice: On App CMD 34
09-17 11:10:37.227  6906  6906 D su      : remote args: 5
09-17 11:10:37.232  6869  6869 D su      : remote args: 5
09-17 11:10:37.232  6920  6920 D su      : child exited
09-17 11:10:37.239  6922  6922 D su      : su invoked.
09-17 11:10:37.244  6879  6879 D su      : client exited 1
09-17 11:10:37.245  6928  6928 D su      : su invoked.
09-17 11:10:37.252  6819  6819 D AndroidRuntime: Calling main entry com.android.commands.am.Am
09-17 11:10:37.252  6932  6932 D su      : Allowing shell.
09-17 11:10:37.255  6930  6930 D su      : Allowing shell.
09-17 11:10:37.268  6896  6896 D su      : remote args: 5
09-17 11:10:37.271  6895  6895 D su      : remote uid: 2000
09-17 11:10:37.272  6898  6898 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962768 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.275  1905  1905 W System.err: java.lang.Exception: Toast callstack! strTip=Superuser granted to Shell
09-17 11:10:37.275  1905  1905 W System.err: 	at android.widget.Toast.show(Toast.java:143)
09-17 11:10:37.275  1905  1905 W System.err: 	at com.koushikdutta.superuser.SuReceiver.onReceive(SuReceiver.java:97)
09-17 11:10:37.275  1905  1905 W System.err: 	at android.app.ActivityThread.handleReceiver(ActivityThread.java:3424)
09-17 11:10:37.275  1905  1905 W System.err: 	at android.app.ActivityThread.access$1200(ActivityThread.java:207)
09-17 11:10:37.275  1905  1905 W System.err: 	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1674)
09-17 11:10:37.275  1905  1905 W System.err: 	at android.os.Handler.dispatchMessage(Handler.java:106)
09-17 11:10:37.275  1905  1905 W System.err: 	at android.os.Looper.loop(Looper.java:193)
09-17 11:10:37.275  1905  1905 W System.err: 	at android.app.ActivityThread.main(ActivityThread.java:6838)
09-17 11:10:37.275  1905  1905 W System.err: 	at java.lang.reflect.Method.invoke(Native Method)
09-17 11:10:37.275  1905  1905 W System.err: 	at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:493)
09-17 11:10:37.275  1905  1905 W System.err: 	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:860)
09-17 11:10:37.276  6899  6899 D su      : remote req pid: 6625
09-17 11:10:37.279  6819  6819 D AndroidRuntime: Shutting down VM
09-17 11:10:37.280  6901  6901 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962238 count=6 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.296  6905  6905 D su      : remote req pid: 6568
09-17 11:10:37.296  6921  6921 D su      : remote req pid: 6593
09-17 11:10:37.301  6939  6939 D su      : remote req pid: 6575
09-17 11:10:37.304  6931  6931 D su      : su invoked.
09-17 11:10:37.308  6918  6918 D su      : client exited 1
09-17 11:10:37.312  6935  6935 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963528 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.312  6946  6946 D su      : waiting for child exit
09-17 11:10:37.315  6910  6910 D su      : waiting for child exit
09-17 11:10:37.316  6924  6924 D su      : waiting for child exit
09-17 11:10:37.318  6947  6947 D su      : remote args: 5
09-17 11:10:37.326  6911  6911 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962728 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.327  6926  6926 D su      : waiting for child exit
09-17 11:10:37.338  6942  6942 D su      : sending code
09-17 11:10:37.354  6937  6937 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963686 count=4 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.355  6953  6953 D su      : Allowing shell.
09-17 11:10:37.361  6951  6951 D su      : remote args: 5
09-17 11:10:37.364  6969  6969 D su      : su invoked.
09-17 11:10:37.375  6960  6960 D su      : waiting for child exit
09-17 11:10:37.378  6950  6950 D su      : sending code
09-17 11:10:37.378  6971  6971 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963210 count=12 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.382  6976  6976 D su      : Allowing shell.
09-17 11:10:37.387  6980  6980 D su      : su invoked.
09-17 11:10:37.388  6955  6955 D su      : sending code
09-17 11:10:37.395  6952  6952 D su      : remote args: 5
09-17 11:10:37.399  6988  6988 D su      : child exited
09-17 11:10:37.409  6991  6991 D su      : waiting for child exit
09-17 11:10:37.414  6982  6982 D su      : client exited 1
09-17 11:10:37.416  6967  6967 D su      : child exited
09-17 11:10:37.420  6965  6965 D su      : su invoked.
09-17 11:10:37.426  6968  6968 D su      : client exited 1
09-17 11:10:37.430  6994  6994 D su      : su invoked.
09-17 11:10:37.432  6973  6973 D su      : waiting for child exit
09-17 11:10:37.435  6964  6964 D su      : sending code
09-17 11:10:37.436  6977  6977 D su      : remote args: 5
09-17 11:10:37.443  6986  6986 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963056 count=4 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.449  6998  6998 D su      : child exited
09-17 11:10:37.454  7003  7003 D su      : sending code
09-17 11:10:37.457  6997  6997 D su      : Allowing shell.
09-17 11:10:37.463  6882  6882 I appproc : app_process main with argv: /system/bin com.android.commands.am.Am broadcast -n com.android.settings/com.android.settings.cyanogenmod.superuser.SuReceiver --ei binary_version 16 --es from_name shell --es desired_name  --ei uid 2000 --ei desired_uid 0 --es command sh --es action allow --user 0 
09-17 11:10:37.463  6882  6882 D AndroidRuntime: >>>>>> START com.android.internal.os.RuntimeInit uid 0 <<<<<<
09-17 11:10:37.472  7006  7006 D su      : sending code
09-17 11:10:37.473  6882  6882 E cutils-trace: Error opening trace file: No such file or directory (2)
09-17 11:10:37.475  7001  7001 D su      : waiting for child exit
09-17 11:10:37.478  7011  7011 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963168 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.496  7013  7013 D su      : client exited 1
09-17 11:10:37.497  6882  6882 V libnb   : enter native_bridge2_isCompatibleWith 3
09-17 11:10:37.503  6882  6882 I libnb   : Found /system/lib64/libhoudini.so version 3
09-17 11:10:37.505  7017  7017 D su      : su invoked.
09-17 11:10:37.508  6999  6999 D su      : client exited 1
09-17 11:10:37.512  6987  6987 D su      : Allowing shell.
09-17 11:10:37.515  6996  6996 D su      : sending code
09-17 11:10:37.521  7018  7018 D su      : Allowing shell.
09-17 11:10:37.543  7025  7025 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123963176 count=2 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.549  7021  7021 D su      : 2000 /system/bin/sh executing 0 sh using binary sh : sh -c dd if=/proc/3856/mem bs=1048576 skip=123962700 count=4 2>/dev/null | grep -qa -o "$(printf "\xa0\x93\xa9\x06\x00\x00\x00\x00")"
09-17 11:10:37.553  3856  3949 I         : 
09-17 11:10:37.553  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:37.553  3856  3949 I [11:10:37.553] M : [ERROR] Bundle::iterator::unpack( authenticate ): Not enough data on stream at 11 for payload (1 left, needed 4)
09-17 11:10:37.553  3856  3949 I         : 
09-17 11:10:37.553  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:37.553  3856  3949 I [11:10:37.553] M : [ERROR] Bundle::iterator::unpack: Got corrupted message header
09-17 11:10:37.553  3856  3949 I         : 
09-17 11:10:37.553  3856  3949 I         : ERROR *****************************************************************************
09-17 11:10:37.553  3856  3949 I [11:10:37.553] M : [ERROR] Nub::processOrderedPacket( 172.16.1.2:25010 ): Discarding bundle due to corrupted header for message id 0
09-17 11:10:37.554  3856  3949 I         : WARNING ***************************************************************************
09-17 11:10:37.554  3856  3949 I [11:10:37.554] M : [WARNING] MainApp::poll: poll returned unexpectedly (REASON_CORRUPTED_PACKET).
09-17 11:10:37.557  7008  7008 D su      : child exited
09-17 11:10:37.563  6882  6882 I /system/bin/app_process: The ClassLoaderContext is a special shared library.
09-17 11:10:37.564  6882  6882 D nativebridge: PreInitializeNativeBridge name=unknown instruction_set=x86_64
09-17 11:10:37.564  6882  6882 W nativebridge: Failed to bind-mount /data/local/cfg-ynhne/ as /proc/cpuinfo: No such file or directory
